"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"BOM";"CATEGORY";"COMMENT";"CURRENT_RATING";"DESCRIPTION";"MANUFACTURER";"MF";"MP";"MPN";"OPERATING_TEMP";"PACKAGE";"PART_STATUS";"POPULARITY";"PRICE";"PROD_ID";"PURCHASE-URL";"ROHS_COMPLIANT";"SERIES";"SPICEPREFIX";"SUB-CATEGORY";"THERMALLOSS";"TYPE";"VALUE";
"BAT";"B2B-PH-K-S(LF)(SN)";"B2B-PH-K-S(LF)(SN)";"JST_B2B-PH-K-S(LF)(SN)";"PH Series 2 Position 2 mm Pitch Through Hole Top Entry Shrouded Header Check prices";"Good";"";"";"";"";" Connector Header Through Hole 2 position 0.079 (2.00mm) ";"";"JST Sales";"B2B-PH-K-S(LF)(SN)";"";"";"None";"";"";"None";"";"https://pricing.snapeda.com/search/part/B2B-PH-K-S(LF)(SN)/?ref=eda";"";"";"";"";"";"";"";
"C1";"1uF";"C-USC0805K";"C0805K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"19";"";"";"";"";"";"C";"";"";"";"";
"C2";"10uF";"C-USC0805K";"C0805K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"19";"";"";"";"";"";"C";"";"";"";"";
"C3";"0.1uF";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"52";"";"";"";"";"";"C";"";"";"";"";
"C4";"100nF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"88";"";"";"";"";"";"C";"";"";"";"";
"C5";"100nF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"88";"";"";"";"";"";"C";"";"";"";"";
"C6";"10uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"88";"";"";"";"";"";"C";"";"";"";"";
"C7";"4.7uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"88";"";"";"";"";"";"C";"";"";"";"";
"C8";"22uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"88";"";"";"";"";"";"C";"";"";"";"";
"HOLE1";"HOLES_MOUNT-PAD-ROUND-0.096-NS";"HOLES_MOUNT-PAD-ROUND-0.096-NS";"HOLES_096-PAD-NS";"MOUNTING PAD, round";"";"EXCLUDE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
